"Enable Slack notifications","Enable Slack notifications"
"API Settings","API Settings"
"Webhook Url","Webhook Url"
"Channel","Channel"
"Icon","Icon"
"For more informations see: https://my.slack.com/customize/emoji","For more informations see: https://my.slack.com/customize/emoji"
"Username","Username"
"Notification Settings","Notification Settings"
"New Orders","New Orders"
"New Customer Account","New Customer Account"
"Admin User Login Failed","Admin User Login Failed"
"*A new order has been placed.* \n*Order ID:* %s, *Name:* %s %s, *Amount:* %s %s","*A new order has been placed.* \n*Order ID:* %s, *Name:* %s %s, *Amount:* %s %s"
"*A new customer account was created*","*A new customer account was created*"
"*Admin user login failed with username:* %s","*Admin user login failed with username:* %s"